ano_publicacao_contrato;numero_processo_formatado;numero_contrato;nome_empresarial_nome_fornecedor;numero_item_pedido;codigo_item_material_servico_numerico;item_material_servico;unnamed_7;unnamed_8;unnamed_9;codigo_elemento_item_despesa;nome_elemento_item_despesa;quantidade_item_pedido;valor_unitario_referencia_item_pedido;valor_total_referencia_item_pedido
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;12;1918109;"ADAPTADOR PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: ADAPTADOR RETO P/ SENSOR DE FLUXO NEO REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR; MARCA/MODELO: DRAGER / VENTILADORES EVITA LINHA V600; REFERENCIA: 8411130;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1696,74;33934,8
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;13;1917978;"SENSOR PARA EQUIPAMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: SENSOR CAPNOGRAFIA CAPNOSTAT 5 ETCO2 REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR/MONITOR MULTIPARAMETROS; MARCA/MODELO: DRAGER / VENTILADORES LINHA V, MONITORES INIFINITY; REFERENCIA: 6871950;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;13750,0;41250,0
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;13;1918109;"ADAPTADOR PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: ADAPTADOR RETO P/ SENSOR DE FLUXO NEO REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR; MARCA/MODELO: DRAGER / VENTILADORES EVITA LINHA V600; REFERENCIA: 8411130;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1696,74;16967,4
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;14;1201115;"SENSOR PARA EQUIPAMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: SENSOR DE OXIGENIO ELETROQUIMICO, CILINDRICO, PARA FIO2; EQUIPAMENTO: APARELHO DE ANESTESIA; MARCA/MODELO: DRAGER/FABIUS; REFERENCIA: 6850645;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1860,0;3720,0
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;14;1917978;"SENSOR PARA EQUIPAMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: SENSOR CAPNOGRAFIA CAPNOSTAT 5 ETCO2 REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR/MONITOR MULTIPARAMETROS; MARCA/MODELO: DRAGER / VENTILADORES LINHA V, MONITORES INIFINITY; REFERENCIA: 6871950;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;13750,0;68750,0
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;15;1201115;"SENSOR PARA EQUIPAMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: SENSOR DE OXIGENIO ELETROQUIMICO, CILINDRICO, PARA FIO2; EQUIPAMENTO: APARELHO DE ANESTESIA; MARCA/MODELO: DRAGER/FABIUS; REFERENCIA: 6850645;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1860,0;13020,0
2026;0501044 000256/2025;9493158;BELMED ELETROMEDICINA LTDA - EPP;1;10758;MANUTENCAO, REPARO, CONSERVACAO E ADAPTACAO EM EQUIPAMENTOS E INSTRUMENTOS HOSPITALARES;;;;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;1;100800,0;100800,0
2026;0501044 000256/2025;9493158;BELMED ELETROMEDICINA LTDA - EPP;1;609226;COMPONENTES,ACES.P/EQUIPAMENTO MEDICO-HOSPITALAR -;;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;18162,99;18162,99
2026;0501044 000258/2025;9494575;EMENALLI MEDICAL LTDA;1;199168;"SONDA DE USO MEDICO - IDENTIFICACAO: FOLLEY 2 VIAS; VESICAL DE DEMORA; NUMERO/TAMANHO: 8 E CAPACIDADE BALAO IMPRESSOS EM LOCAL VISIVEL; MATERIA-PRIMA: SILICONE;";;;;3010;MATERIAL MEDICO E HOSPITALAR;2;19,29;2893,5
2026;0501044 000258/2025;9494575;EMENALLI MEDICAL LTDA;4;231231;"SONDA DE USO MEDICO - IDENTIFICACAO: NASOGASTRICA LONGA; NUMERO/TAMANHO: 8; MATERIA-PRIMA: POLIVINIL ATOXICO;";;;;3010;MATERIAL MEDICO E HOSPITALAR;2;1,3516;202,74
